Date,Time,Persons Count
2024-02-22,22:26:50.833361,tensor(1)
2024-02-22,22:26:51.031003,tensor(1)
2024-02-22,22:26:51.244655,tensor(1)
2024-02-22,22:26:51.434351,tensor(1)
2024-02-22,22:26:51.655109,tensor(1)
2024-02-22,22:26:51.876577,tensor(1)
2024-02-22,22:26:52.089871,tensor(1)
2024-02-22,22:26:52.328374,tensor(1)
2024-02-22,22:26:52.540890,tensor(1)
2024-02-22,22:26:52.774820,tensor(1)
2024-02-22,22:26:53.114070,tensor(1)
2024-02-22,22:26:53.472716,tensor(1)
2024-02-22,22:26:53.823892,tensor(1)
2024-02-22,22:26:54.084133,tensor(1)
2024-02-22,22:26:54.307000,tensor(1)
2024-02-22,22:26:54.530776,tensor(1)
2024-02-22,22:26:54.781291,tensor(1)
2024-02-22,22:26:55.009749,tensor(1)
2024-02-22,22:26:55.233834,tensor(1)
2024-02-22,22:26:55.442529,tensor(1)
2024-02-22,22:26:55.643238,tensor(1)
2024-02-22,22:26:55.824931,tensor(1)
2024-02-22,22:26:56.027211,tensor(1)
2024-02-22,22:26:56.226164,tensor(1)
2024-02-22,22:26:56.408696,tensor(1)
2024-02-22,22:26:56.595372,tensor(1)
2024-02-22,22:26:56.791774,tensor(1)
2024-02-22,22:26:56.991541,tensor(1)
2024-02-22,22:26:57.236897,tensor(1)
2024-02-22,22:26:57.761660,tensor(1)
2024-02-22,22:26:58.010820,tensor(1)
2024-02-22,22:26:58.258062,tensor(1)
2024-02-22,22:26:58.499058,tensor(1)
2024-02-22,22:26:58.783611,tensor(1)
2024-02-22,22:26:59.041923,tensor(1)
2024-02-22,22:26:59.282908,tensor(1)
2024-02-22,22:26:59.523124,tensor(1)
2024-02-22,22:26:59.758622,tensor(1)
2024-02-22,22:27:00.006283,tensor(1)
2024-02-22,22:27:00.269645,tensor(1)
2024-02-22,22:27:00.515913,tensor(1)
2024-02-22,22:27:00.767309,tensor(1)
2024-02-22,22:27:01.038788,tensor(1)
2024-02-22,22:27:01.325354,tensor(1)
2024-02-22,22:27:01.576378,tensor(1)
2024-02-22,22:27:01.855753,tensor(0)
2024-02-22,22:27:02.193418,tensor(0)
2024-02-22,22:27:02.483302,tensor(0)
2024-02-22,22:27:02.777276,tensor(0)
2024-02-22,22:27:03.047554,tensor(0)
2024-02-22,22:27:03.296356,tensor(0)
2024-02-22,22:27:03.539991,tensor(0)
2024-02-22,22:27:03.813581,tensor(0)
2024-02-22,22:27:04.078621,tensor(0)
2024-02-22,22:27:04.316650,tensor(1)
2024-02-22,22:27:04.537342,tensor(1)
2024-02-22,22:27:04.781751,tensor(1)
2024-02-22,22:27:05.027878,tensor(1)
2024-02-22,22:27:05.262361,tensor(1)
2024-02-22,22:27:05.518608,tensor(1)
2024-02-22,22:27:05.775994,tensor(1)
2024-02-22,22:27:06.131587,tensor(1)
2024-02-22,22:27:06.406806,tensor(1)
2024-02-22,22:27:06.681066,tensor(1)
2024-02-22,22:27:06.959745,tensor(1)
2024-02-22,22:27:07.270891,tensor(1)
2024-02-22,22:27:07.538257,tensor(1)
2024-02-22,22:27:07.767238,tensor(1)
2024-02-22,22:27:08.018221,tensor(1)
2024-02-22,22:27:08.302915,tensor(1)
2024-02-22,22:27:08.580729,tensor(1)
2024-02-22,22:27:08.840704,tensor(1)
2024-02-22,22:27:09.074432,tensor(1)
2024-02-22,22:27:09.307539,tensor(1)
2024-02-22,22:27:09.558832,tensor(1)
2024-02-22,22:27:09.822456,tensor(1)
2024-02-22,22:27:10.075517,tensor(1)
2024-02-22,22:27:10.324159,tensor(1)
2024-02-22,22:27:18.686027,tensor(1)
2024-02-22,22:27:18.948809,tensor(1)
2024-02-22,22:27:19.209960,tensor(1)
2024-02-22,22:27:19.486735,tensor(1)
2024-02-22,22:27:19.782620,tensor(1)
2024-02-22,22:27:20.030732,tensor(1)
2024-02-22,22:27:20.529724,tensor(1)
2024-02-22,22:27:20.912817,tensor(1)
2024-02-22,22:27:21.196333,tensor(1)
2024-02-22,22:27:21.466380,tensor(1)
2024-02-22,22:27:21.767960,tensor(1)
